"teamName","logoUrl","leagues"
"Barcelona","","DHM"
"Barceloneta","","DHM"
"Barceloneta F","","DHF"
"Boadilla","","PDF"
"Boadilla F","","PDF"
"CAX","","PDM"
"CN Atlètic-Barceloneta","","PDM"
"CN Barcelona","","DHM"
"CN Caballa Ceuta","","DHM"
"CN Catalunya","","DHF/DHM/PDF/PDM"
"CN Joventut","","PDF"
"CN Mataró","","DHF"
"CN Mediterrani","","DHF"
"CN Rubí","","DHM/PDF/PDM"
"CN Sabadell","","DHM/PDM"
"CN Sant Andreu","","DHM/PDM"
"CN Sant Feliu","","DHF/PLENO_15"
"CN Terrassa","","DHF/DHM"
"Caballa","","DHM"
"Catalunya F","","DHF"
"Club Waterpolo Pontevedra","","PDF"
"Granollers","","PDM"
"Las Palmas","","PDM"
"Mataró","","DHM"
"Mataró F","","DHF"
"Mediterrani","","DHM"
"Málaga","","PDF"
"Málaga F","","PDF"
"Olympiacos","","CLF"
"Sabadell","","DHM"
"Sant Andreu","","DHM"
"Terrassa F","","DHF"
"Tres Cantos","","SDM"
"UE Horta","","DHF/PLENO_15"
"UVSE Margitsziget","","CLF"
"Urbat","","SDM"
"Waterpolo Tenerife Echeyde","","DHM"
